exception_id	category	path	reason	expires_on
RED-0001	local-path	docs/parity/evidence/phase-09-flash-monitor-evidence-wrapper-hardening.md	legacy admitted before private-first policy
RED-0002	local-path	docs/parity/evidence/phase-11-safety-controller-hardware-regression-evidence/flash-command-evidence.json	legacy admitted before private-first policy
RED-0003	local-path	docs/parity/evidence/phase-12-asic-and-mining-hardware-evidence.md	legacy admitted before private-first policy
RED-0004	local-path	docs/parity/evidence/phase-12-asic-and-mining-hardware-evidence/chip-detect/flash-command-evidence.json	legacy admitted before private-first policy
RED-0005	local-path	docs/parity/evidence/phase-12-asic-and-mining-hardware-evidence/safe-boot-restore/flash-command-evidence.json	legacy admitted before private-first policy
RED-0006	local-path	docs/parity/evidence/phase-12-asic-and-mining-hardware-evidence/safe-boot/flash-command-evidence.json	legacy admitted before private-first policy
RED-0007	local-path	docs/parity/evidence/phase-13-final-ultra-205-release-evidence/serial-boot.md	legacy admitted before private-first policy
RED-0008	local-path	docs/parity/evidence/phase-13-final-ultra-205-release-evidence/serial-boot/flash-command-evidence.json	legacy admitted before private-first policy
RED-0009	local-path	docs/parity/evidence/phase-14-safety-hardware-evidence-completion/self-test-watchdog-load/current-serial/flash-command-evidence.json	legacy admitted before private-first policy
RED-0010	local-path	docs/parity/evidence/phase-15-bm1366-mining-evidence-completion/chip-detect/flash-command-evidence.json	legacy admitted before private-first policy
RED-0011	local-path	docs/parity/evidence/phase-15-bm1366-mining-evidence-completion/work-result/flash-command-evidence.json	legacy admitted before private-first policy
RED-0012	local-path	docs/parity/evidence/phase-16-current-commit-release-evidence-completion/package-release-gate/package-command.log	legacy admitted before private-first policy
RED-0013	local-path	docs/parity/evidence/phase-16-current-commit-release-evidence-completion/serial-boot.md	legacy admitted before private-first policy
RED-0014	local-path	docs/parity/evidence/phase-16-current-commit-release-evidence-completion/serial-boot/flash-command-evidence.json	legacy admitted before private-first policy
RED-0015	local-path	docs/parity/evidence/phase-18-firmware-ota-and-rollback-evidence/firmware-ota/firmware-ota-smoke.log	legacy admitted before private-first policy
RED-0016	local-path	docs/parity/evidence/phase-18-firmware-ota-and-rollback-evidence/package-release-gate/package-command.log	legacy admitted before private-first policy
RED-0017	local-path	docs/parity/evidence/phase-18-firmware-ota-and-rollback-evidence/serial-boot/flash-command-evidence.json	legacy admitted before private-first policy
RED-0018	local-path	docs/parity/evidence/phase-19-recovery-regression-and-otawww-evidence/package-release-gate/package-command.log	legacy admitted before private-first policy
RED-0019	local-path	docs/parity/evidence/phase-19-recovery-regression-and-otawww-evidence/serial-boot/flash-command-evidence.json	legacy admitted before private-first policy
RED-0020	local-path	docs/parity/evidence/phase-21-live-mining-and-soak-evidence/bm1366-init-work-result/chip-detect/flash-command-evidence.json	legacy admitted before private-first policy
RED-0021	local-path	docs/parity/evidence/phase-21-live-mining-and-soak-evidence/bm1366-init-work-result/chip-detect/package/bitaxe-ultra205-factory.bin	legacy admitted before private-first policy
RED-0022	local-path	docs/parity/evidence/phase-21-live-mining-and-soak-evidence/bm1366-init-work-result/chip-detect/package/bitaxe-ultra205.elf	legacy admitted before private-first policy
RED-0023	local-path	docs/parity/evidence/phase-21-live-mining-and-soak-evidence/bm1366-init-work-result/chip-detect/package/esp-miner.bin	legacy admitted before private-first policy
RED-0024	local-path	docs/parity/evidence/phase-21-live-mining-and-soak-evidence/bm1366-init-work-result/work-result/flash-command-evidence.json	legacy admitted before private-first policy
RED-0025	local-path	docs/parity/evidence/phase-21-live-mining-and-soak-evidence/bm1366-init-work-result/work-result/package/bitaxe-ultra205-factory.bin	legacy admitted before private-first policy
RED-0026	local-path	docs/parity/evidence/phase-21-live-mining-and-soak-evidence/bm1366-init-work-result/work-result/package/bitaxe-ultra205.elf	legacy admitted before private-first policy
RED-0027	local-path	docs/parity/evidence/phase-21-live-mining-and-soak-evidence/bm1366-init-work-result/work-result/package/esp-miner.bin	legacy admitted before private-first policy
RED-0028	local-path	docs/parity/evidence/phase-21-live-mining-and-soak-evidence/live-mining-smoke/controlled-package-boot/flash-command-evidence.json	legacy admitted before private-first policy
RED-0029	local-path	docs/parity/evidence/ultra-205-repo-firmware-smoke-2026-06-25.md	legacy admitted before private-first policy
RED-0030	network-address	docs/parity/evidence/phase-08-ultra-205-release-summary.md	legacy admitted before private-first policy
RED-0031	network-address	docs/parity/evidence/phase-12-asic-and-mining-hardware-evidence/detect-ultra205.log	legacy admitted before private-first policy
RED-0032	network-address	docs/parity/evidence/phase-12-asic-and-mining-hardware-evidence/restore-detect-ultra205.log	legacy admitted before private-first policy
RED-0033	network-address	docs/parity/evidence/phase-13-final-ultra-205-release-evidence/detect-ultra205.log	legacy admitted before private-first policy
RED-0034	network-address	docs/parity/evidence/phase-15-bm1366-mining-evidence-completion/chip-detect/detect-ultra205.log	legacy admitted before private-first policy
RED-0035	network-address	docs/parity/evidence/phase-15-bm1366-mining-evidence-completion/chip-detect/package/bitaxe-ultra205-package.json	legacy admitted before private-first policy
RED-0036	network-address	docs/parity/evidence/phase-15-bm1366-mining-evidence-completion/work-result/detect-ultra205.log	legacy admitted before private-first policy
RED-0037	network-address	docs/parity/evidence/phase-15-bm1366-mining-evidence-completion/work-result/package/bitaxe-ultra205-package.json	legacy admitted before private-first policy
RED-0038	network-address	docs/parity/evidence/phase-16-current-commit-release-evidence-completion/package-release-gate/bitaxe-ultra205-package.json	legacy admitted before private-first policy
RED-0039	network-address	docs/parity/evidence/phase-16-current-commit-release-evidence-completion/serial-boot/detect-ultra205.log	legacy admitted before private-first policy
RED-0040	network-address	docs/parity/evidence/phase-18-firmware-ota-and-rollback-evidence/package-release-gate/bitaxe-ultra205-package.json	legacy admitted before private-first policy
RED-0041	network-address	docs/parity/evidence/phase-18-firmware-ota-and-rollback-evidence/redaction-review.md	legacy admitted before private-first policy
RED-0042	network-address	docs/parity/evidence/phase-19-recovery-regression-and-otawww-evidence/package-release-gate/bitaxe-ultra205-package.json	legacy admitted before private-first policy
RED-0043	network-address	docs/parity/evidence/ultra-205-factory-reflash-2026-06-25.md	legacy admitted before private-first policy
RED-0044	network-address	docs/parity/evidence/ultra-205-pivot-safe-state-smoke-2026-06-26.md	legacy admitted before private-first policy
RED-0045	network-address	docs/parity/evidence/ultra-205-repo-firmware-smoke-2026-06-25.md	legacy admitted before private-first policy
RED-0046	network-address	docs/parity/evidence/ultra-205-startup-display-debug-2026-06-27.md	legacy admitted before private-first policy
RED-0047	pool-owner	docs/parity/evidence/phase-15-bm1366-mining-evidence-completion/bounded-soak.md	legacy admitted before private-first policy
RED-0048	pool-owner	docs/parity/evidence/phase-15-bm1366-mining-evidence-completion/mining-smoke.md	legacy admitted before private-first policy
RED-0049	raw-http	docs/parity/evidence/phase-18-firmware-ota-and-rollback-evidence/firmware-ota/invalid-firmware-ota.headers.txt	legacy admitted before private-first policy
RED-0050	raw-http	docs/parity/evidence/phase-18-firmware-ota-and-rollback-evidence/firmware-ota/valid-firmware-ota.headers.txt	legacy admitted before private-first policy
RED-0051	usb-path	docs/parity/evidence/phase-01-gamma-601-boot-log.md	legacy admitted before private-first policy
RED-0052	usb-path	docs/parity/evidence/phase-09-flash-monitor-evidence-wrapper-hardening.md	legacy admitted before private-first policy
RED-0053	usb-path	docs/parity/evidence/phase-11-safety-controller-hardware-regression-evidence/flash-command-evidence.json	legacy admitted before private-first policy
RED-0054	usb-path	docs/parity/evidence/phase-11-safety-controller-hardware-regression-evidence/redaction-review.md	legacy admitted before private-first policy
RED-0055	usb-path	docs/parity/evidence/phase-12-asic-and-mining-hardware-evidence.md	legacy admitted before private-first policy
RED-0056	usb-path	docs/parity/evidence/phase-12-asic-and-mining-hardware-evidence/chip-detect/flash-command-evidence.json	legacy admitted before private-first policy
RED-0057	usb-path	docs/parity/evidence/phase-12-asic-and-mining-hardware-evidence/detect-ultra205.log	legacy admitted before private-first policy
RED-0058	usb-path	docs/parity/evidence/phase-12-asic-and-mining-hardware-evidence/restore-detect-ultra205.log	legacy admitted before private-first policy
RED-0059	usb-path	docs/parity/evidence/phase-12-asic-and-mining-hardware-evidence/safe-boot-restore/flash-command-evidence.json	legacy admitted before private-first policy
RED-0060	usb-path	docs/parity/evidence/phase-12-asic-and-mining-hardware-evidence/safe-boot/flash-command-evidence.json	legacy admitted before private-first policy
RED-0061	usb-path	docs/parity/evidence/phase-13-final-ultra-205-release-evidence/detect-ultra205.log	legacy admitted before private-first policy
RED-0062	usb-path	docs/parity/evidence/phase-13-final-ultra-205-release-evidence/firmware-ota.md	legacy admitted before private-first policy
RED-0063	usb-path	docs/parity/evidence/phase-13-final-ultra-205-release-evidence/firmware-ota/firmware-ota-smoke.log	legacy admitted before private-first policy
RED-0064	usb-path	docs/parity/evidence/phase-13-final-ultra-205-release-evidence/hardware-detection.md	legacy admitted before private-first policy
RED-0065	usb-path	docs/parity/evidence/phase-13-final-ultra-205-release-evidence/http-static-recovery.md	legacy admitted before private-first policy
